title_or_outcome_id,Description,User range,Rating_points_1,Rating_title_1,Rating_description_1,Rating_points_2,Rating_title_2,Rating_description_2,Rating_points_3,Rating_title_3,Rating_description_3,Rating_points_4,Rating_title_4,Rating_description_4,Rating_points_5,Rating_title_5,Rating_description_5
Format & Length,"Meets assignment’s technical and design specifications (one page front/back, portrait layout, margins).",FALSE,12,Exceeds Expectations,Follows all format requirements perfectly; layout is professional and makes an amazing first impression.,10,Meets Expectations,Meets all formatting and length requirements; design consistent with assignment.,7,Almost There,Makes minor formatting errors or deviates from the length limitation.,5,Needs Work,Makes major formatting and/or layout errors.,0,Missing,"Formatting not followed. Pages missing, longer than 1 page (front and back), or unreadable."
First Impression,"Makes a positive first impression as a polished, professional document.",FALSE,12,Exceeds Expectations,Makes an outstanding first impression. Appears as a professional piece that could be sent out immediately.,10,Meets Expectations,Makes a strong first impression. Uses impressive document design.,7,Almost There,Includes 1 or 2 minor flaws that detract from the first impression.,5,Needs Work, Includes multiple flaws that detract from the first impression. Could not be sent out without extensive revision.,0,Missing,Does not make a positive first impression.
"Title, Date, & Byline","Includes a clear and specific title, date, and author’s name.",FALSE,12,Exceeds Expectations,"Includes a clear, specific, and engaging title, the current date, and the full name of the author.",10,Meets Expectations,"Title is specific, and the author and date are clearly listed.",7,Almost There,"Title, date, and byline are present but may be vague or inconsistent in format",5,Needs Work,"Title, date, or byline is missing or unclear.",0,Missing,"Title, date, and byline are missing."
Introduction,Explains the topic and why it matters followed by a bulleted list or outline of the key concepts or issues that will be addressed in the fact sheet. ,FALSE,12,Exceeds Expectations,Introduces the topic concisely and engagingly. Clearly explains why the topic matters and what the fact sheet will cover.,10,Meets Expectations,Introduces and explains the topic and its importance. Identifies what the fact sheet covers.,7,Almost There,"Introduces topic, its significance, and what the fact sheet covers, but the section may be too brief, too long, or unclear.",5,Needs Work,"Introduces the topic, but is confusing, poorly written, lacks explanation of importance, and/or omits details on what the fact sheet covers..",0,Missing,No introduction is provided.
Body,"Divide the body into distinct sections. Present each section with a clear, informative heading followed by the most important facts about the topic. Explains 3–5 essential facts about the topic in lists, stats, and/or short paragraphs, combining these elements to communicate details fully. ",FALSE,12,Exceeds Expectations,"Presents 3–5 essential facts using clear lists, statistics, or brief paragraphs; content is well-selected, relevant, and fully explained.",10,Meets Expectations,Includes 3–5 relevant facts with clearly explained details.,7,Almost There,"Covers fewer than 3 or more than 5 facts, or lacks clear details and explanations.",5,Needs Work,"Uses incomplete and/or vague details, OR excessive explanation and details.",0,Missing,No body sections (or inadequately developed body sections) are provided.
Conclusion,"Summarize the information with quick facts, takeaways, or action steps.",FALSE,12,Exceeds Expectations,"Ends with clear, memorable takeaways that reinforce key facts and connect directly to the reader’s needs or next steps.",10,Meets Expectations,"Provides a concise, accurate summary and clear takeaways that reinforce main points.",7,Almost There,"Includes a conclusion but lacks clarity, focus, or complete connection to the main message.",5,Needs Work,"Conclusion is weak, repetitive, or too general; lacks clear summary or next steps.",0,Missing,No conclusion provided or incomplete.
Visuals,Integrates a minimum of 3 visuals (at least 1 data visualization; no more than 1 photo) that support understanding. Includes captions and textual references. Placed in proximity to textual references.,FALSE,12,Exceeds Expectations,Supports key points with the required visuals. Includes 2-part captions as well as explanation and references in text for each visual. Visuals placed near text references.,10,Meets Expectations,Includes required visuals with 2-part captions and explanations and references in text. Visuals aid comprehension.,7,Almost There,Includes required visuals but one or more lacks captions or explanations and references in the text.,5,Needs Work,"Does not meet the requirements for the visuals, captions, in-text explanations and references, and/or visual placement.",0,Missing,Visuals are missing or do not support the content.
Sources & Documentation,Uses 6–10 credible sources; integrates and cites accurately in discipline style.,FALSE,12,Exceeds Expectations,Provides credible and smoothly integrated sources. Bibliographic citations perfect.,10,Meets Expectations,Uses required number of credible sources and integrates them into the text. Includes correctly formatted in-text and bibliographic citations.,7,Almost There,Uses credible sources but minor citation or integration errors.,5,Needs Work,Uses a source that is not credible or not integrated and/or uses incorrectly formatted citations.,0,Missing,"Includes fewer than 5 credible, integrated sources and/or includes no or inadequate documentation."
Plain Language Use,"Uses plain language, clear explanations, and definitions for non-experts.",FALSE,12,Exceeds Expectations,Simplifies complex ideas for readers accurately. Uses plain language consistently and smoothly.,10,Meets Expectations,Explains complex ideas for readers well. Uses plain language throughout Defines all necessary terms.,7,Almost There,"Occasionally uses complicated, overly technical, wordy, and/or repetitive phrasing.",5,Needs Work,Frequently uses language that is too technical or confusing.,0,Missing,No use of plain language.
Document Design,"Uses headings, logical structure, and visual hierarchy to guide readers through the document. Uses CRAP design principles, fonts, chunking, and other formatting elements effectively to increase readability.",FALSE,12,Exceeds Expectations,"Uses flawless formatting. Shows strong contrast between headings and the document paragraphs. Uses spacing, fonts, and chunking and CRAP design principles to make the message highly readable and professional.",10,Meets Expectations,"Uses accurate and appropriate formatting. Formats headings, spacing, and CRAP design principles consistently. Uses lists, horizontal rules, and boxes as effective visual elements.",7,Almost There,"May include minor formatting errors and/or includes minor errors in headings, paragraphing, spacing, or application of CRAP design principles.",5,Needs Work,"Uses incorrect formatting, inadequate contrast between headings and text, large paragraphs, and/or inaccurate spacing. Inconsistently applies CRAP design principles.",0,Missing,Does not meet formatting or design requirements.
